director_and_actors,img,link,other_title,quote,rank,rating,reviewers,title
导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg,https://movie.douban.com/subject/2129039/, / 冲天救兵(港)  /  天外奇迹(台),最后那些最无聊的事情，才是最值得怀念的。 ,36,9.1,1308043人评价,飞屋环游记
导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg,https://movie.douban.com/subject/1308807/, / 哈尔移动城堡(港)  /  霍尔的移动城堡(台),带着心爱的人在天空飞翔。,37,9.1,1009310人评价,哈尔的移动城堡
导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg,https://movie.douban.com/subject/1293182/, / 12怒汉  /  十二怒汉,1957年的理想主义。 ,38,9.4,482783人评价,十二怒汉
导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg,https://movie.douban.com/subject/30170448/, / 迦百农  /  星仔打官司(港),凝视卑弱生命，用电影改变命运。,39,9.1,1032051人评价,何以为家
导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg,https://movie.douban.com/subject/26387939/, / 我和我的冠军女儿(台)  /  打死不离3父女(港),你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,40,9.0,1552143人评价,摔跤吧！爸爸
导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg,https://movie.douban.com/subject/3742360/, / 让子弹飞一会儿  /  火烧云,你给我翻译翻译，神马叫做TMD的惊喜。,41,9.0,1677911人评价,让子弹飞
导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg,https://movie.douban.com/subject/1291858/, / Devils on the Doorstep,对敌人的仁慈，就是对自己残忍。,42,9.3,618871人评价,鬼子来了
导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg,https://movie.douban.com/subject/1305487/, / 逍遥法外  /  捉智双雄(港),骗子大师和执著警探的你追我跑故事。 ,43,9.1,1007165人评价,猫鼠游戏
导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg,https://movie.douban.com/subject/1929463/, / 少年Pi的奇幻漂流  /  漂流少年Pi,瑰丽壮观、无人能及的冒险之旅。,44,9.1,1335264人评价,少年派的奇幻漂流
导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg,https://movie.douban.com/subject/25958717/, / 飘零燕(港)  /  海蒂,如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,45,9.3,597923人评价,海蒂和爷爷
导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p1381339291.jpg,https://movie.douban.com/subject/1296736/, / 钢琴战曲(港)  /  战地琴人(台),音乐能化解仇恨。,46,9.3,627945人评价,钢琴家
导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg,https://movie.douban.com/subject/1299398/, / 西游记101回月光宝盒  /  齐天大圣东游记,旷古烁今。,47,9.0,1207676人评价,大话西游之月光宝盒
导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2892380420.jpg,https://movie.douban.com/subject/1291583/, / 天空之城拉普他  /  空中城堡拉普他,对天空的追逐，永不停止。 ,48,9.2,811512人评价,天空之城
导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg,https://movie.douban.com/subject/1291572/, / 魔戒二部曲：双城奇谋  /  指环王II：双塔,承前启后的史诗篇章。,49,9.2,742806人评价,指环王2：双塔奇兵
导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg,https://movie.douban.com/subject/1298624/, / 女人香  /  女人的芳香,史上最美的探戈。,50,9.1,871990人评价,闻香识女人
